Year,Month,Max_Temp,Wind_Pressure,Wind_Speed,"Avg_Rain_Fall"
1991,January,33.4,6.19,6.19,"20.2"
1991,February,34.6,5.04,5.04,"13.1"
1991,March,37,5.5,5.5,"20.8"
1991,April,36.2,8.41,8.41,"101.5"
1991,May,37.6,12.78,12.78,"126.5"
1991,June,33.2,14.47,14.47,"519.7"
1991,July,33,13.57,13.57,"178"
1991,August,33.8,13.96,13.96,"13.6"
1991,September,36.2,13.26,13.26,"6.7"
1991,October,35.4,10.2,10.2,"159.9"
1991,November,34.2,5.63,5.63,"97.6"
1991,December,35,5.62,5.62,"4.2"
1992,January,33.8,7.04,7.04,"5.5"
1992,February,36.4,4.21,4.21,"0"
1992,March,38.4,4.69,4.69,"0"
1992,April,38.8,9.23,9.23,"56.4"
1992,May,38.4,12.85,12.85,"187.2"
1992,June,33.8,20.99,20.99,"261.2"
1992,July,35.4,17.31,17.31,"88.7"
1992,August,36.2,17.31,17.31,"53"
1992,September,37.6,15.06,15.06,"101"
1992,October,36.4,10.86,10.86,"428"
1992,November,36,3.05,3.05,"248.2"
1992,December,35.2,6.07,6.07,"13"
1993,January,35.4,6.47,6.47,"0"
1993,February,37.2,6.23,6.23,"18"
1993,March,38.2,6.13,6.13,"23.5"
1993,April,39.8,7.47,7.47,"91.5"
1993,May,39.8,14.23,14.23,"53.7"
1993,June,36.8,17.21,17.21,"120.8"
1993,July,35.2,18.29,18.29,"84.5"
1993,August,36.4,16.98,16.98,"11"
1993,September,38.4,14.95,14.95,"62.5"
1993,October,35.8,8.04,8.04,"237.5"
1993,November,34,3.44,3.44,"294.5"
1993,December,31.6,4.51,4.51,"108.5"
1994,January,34.2,3.97,3.97,"0"
1994,February,36.4,1.23,1.23,"94"
1994,March,37.2,1.04,1.04,"15"
1994,April,38,2.84,2.84,"101.4"
1994,May,38.8,5.08,5.08,"51"
1994,June,36.8,15.12,15.12,"70"
1994,July,36.6,14.36,14.36,"91"
1994,August,36.2,14.04,14.04,"60.5"
1994,September,36.4,8.72,8.72,"70"
1994,October,36,5.77,5.77,"418"
1994,November,36,4.52,4.52,"131"
1994,December,34.2,4.96,4.96,"0"
1995,January,37,4.74,4.74,"23"
1995,February,36.2,4.05,4.05,"0"
1995,March,39.2,4.1,4.1,"5"
1995,April,40,4.74,4.74,"157.6"
1995,May,38,13.25,13.25,"232"
1995,June,37,16.97,16.97,"63.7"
1995,July,35,15.62,15.62,"62.6"
1995,August,36,14.9,14.9,"33.3"
1995,September,36.4,13.74,13.74,"32.5"
1995,October,37.6,7.81,7.81,"177.2"
1995,November,36,4.3,4.3,"197.3"
1995,December,34.6,4.61,4.61,"0"
1996,January,35,4.3,4.3,"6.8"
1996,February,37.6,4.42,4.42,"11.1"
1996,March,39,3.99,3.99,"9.8"
1996,April,39,7.5,7.5,"74.9"
1996,May,39.4,16.15,16.15,"1.2"
1996,June,38.2,14.66,14.66,"161.1"
1996,July,38,15.91,15.91,"125.2"
1996,August,36,13.66,13.66,"18.1"
1996,September,39,10.83,10.83,"127.8"
1996,October,37,7.46,7.46,"384"
1996,November,35,4.72,4.72,"232.9"
1996,December,34,4.8,4.8,"73.4"
1997,January,35,5.02,5.02,"5.4"
1997,February,36,3.27,3.27,"0"
1997,March,38,2.97,2.97,"24.6"
1997,April,39,5.5,5.5,"86.1"
1997,May,39,9.98,9.98,"143.4"
1997,June,38.2,13.44,13.44,"86.2"
1997,July,35,15.28,15.28,"68.4"
1997,August,36,14.18,14.18,"106.3"
1997,September,37,10.5,10.5,"463.6"
1997,October,36,3.19,3.19,"355"
1997,November,35,5.93,5.93,"235.8"
1998,December,34,5.4,5.4,"31.8"
1998,January,36,4.68,4.68,"0"
1998,February,37,5.38,5.38,"7"
1998,March,39.2,4.4,4.4,"0"
1998,April,41,6.16,6.16,"81.4"
1998,May,40,10.12,10.12,"140.7"
1998,June,38,12.6,12.6,"155.4"
1998,July,36,15.9,15.9,"32"
1998,August,38,12.42,12.42,"56.1"
1998,September,36.4,13.9,13.9,"212.4"
1998,October,35.8,11.35,11.35,"387.9"
1998,November,35.6,2.99,2.99,"306.5"
1998,December,35.6,2.12,2.12,"180.7"
1999,January,36.6,4.02,4.02,"6"
1999,February,36.8,3.74,3.74,"41.5"
1999,March,37.6,4.96,4.96,"7.3"
1999,April,37,13.3,13.3,"118.8"
1999,May,38,14.19,14.19,"280.4"
1999,June,37.2,14.38,14.38,"212.3"
1999,July,37.2,15.04,15.04,"67.8"
1999,August,37.2,14.26,14.26,"0"
1999,September,38,13.34,13.34,"46.2"
1999,October,36.2,8.49,8.49,"328.6"
1999,November,36.6,4.58,4.58,"68.7"
1999,December,37.2,2.19,2.19,"0"
